human_gene,human_SIX2_normalized_ regulatory_score,ITGA8+_cells_RPKM,mouse_gene,mouse_Six2_normalized_ regulatory_score,Cited1+_cells_RPKM,z_score
MTF2,0.000,13.363,Mtf2,0.000,12.330,0.000
HTRA1,0.000,22.405,Htra1,0.000,0.307,0.000
09-Mar,0.000,6.940,09-Mar,0.000,10.240,0.000
STOX1,0.663,9.624,Stox1,0.000,0.609,0.814
AAMP,0.000,44.855,Aamp,0.000,74.140,0.000
ABHD11,0.884,10.542,Abhd11,0.000,11.970,0.940
FAU,0.000,521.360,Fau,0.000,713.300,0.000
GNE,0.316,7.280,Gne,0.000,2.656,0.562
MAGT1,0.000,20.801,Magt1,0.000,14.270,0.000
PSRC1,0.000,14.334,Psrc1,0.000,13.680,0.000
AMY2B,0.000,3.298,Amy2b,0.000,0.000,0.000
KRT40,0.000,0.000,Krt40,0.000,0.000,0.000
DDX31,0.300,5.419,Ddx31,0.000,4.076,0.548
BAHD1,0.000,13.779,Bahd1,0.000,5.342,0.000
CAMK2G,0.000,8.321,Camk2g,0.000,10.820,0.000
QRICH2,0.000,3.333,Qrich2,0.000,0.117,0.000
CEP63,0.000,8.500,Cep63,0.000,7.343,0.000
LCN10,0.000,0.266,Lcn10,0.000,0.000,0.000
FAM118B,0.000,5.729,Fam118b,0.000,8.470,0.000
FAM73B,0.000,10.954,Fam73b,0.000,8.555,0.000
ZFP82,0.000,2.880,Zfp82,0.000,1.815,0.000
MSRA,0.868,4.572,Msra,0.000,4.339,0.932
HAPLN4,0.000,0.627,Hapln4,0.000,0.017,0.000
RP1,0.000,0.000,Rp1,0.000,0.000,0.000
SCG5,0.000,36.211,Scg5,0.000,0.604,0.000
AIFM1,0.000,12.780,Aifm1,0.000,18.400,0.000
NPFF,0.000,4.211,Npff,0.000,0.600,0.000
MAP3K14,0.000,5.117,Map3k14,0.000,2.305,0.000
NPHS1,0.000,3.861,Nphs1,0.000,0.321,0.000
AGXT,0.000,0.000,Agxt,0.000,0.005,0.000
AQP3,0.000,4.108,Aqp3,0.000,0.681,0.000
NPTX2,1.578,20.690,Nptx2,0.000,0.594,1.256
SHC3,0.379,0.373,Shc3,0.000,0.035,0.615
EYA3,0.000,7.557,Eya3,0.000,14.950,0.000
ALS2CL,0.000,0.742,Als2cl,0.000,0.220,0.000
GNB1,0.000,137.785,Gnb1,0.000,122.100,0.000
GNAT2,0.000,0.000,Gnat2,0.000,0.333,0.000
GNAI2,0.000,104.490,Gnai2,0.000,124.600,0.000
TMCO6,0.000,9.788,Tmco6,0.000,5.737,0.000
RFX1,0.000,12.027,Rfx1,0.000,8.975,0.000
TRIM27,0.000,26.977,Trim27,0.000,40.380,0.000
PSPN,0.000,1.796,Pspn,0.000,1.055,0.000
USF1,0.000,23.108,Usf1,0.000,30.370,0.000
SERPINB2,0.000,0.509,Serpinb2,0.000,0.004,0.000
RLN1,0.000,0.000,Rln1,0.000,0.176,0.000
CCL3,0.000,128.404,Ccl3,0.000,3.532,0.000
RGS20,0.000,0.064,Rgs20,0.000,0.030,0.000
KCTD10,0.000,18.310,Kctd10,0.000,18.860,0.000
MTX1,0.000,15.629,Mtx1,0.000,20.130,0.000
ZFAND2B,0.000,12.620,Zfand2b,0.000,8.777,0.000
CNDP2,0.000,12.504,Cndp2,0.000,14.610,0.000
PCP4,1.231,6.550,Pcp4,0.000,4.703,1.109
PDE6D,0.347,14.550,Pde6d,0.000,18.920,0.589
