human_gene,human_SIX2_normalized_ regulatory_score,ITGA8+_cells_RPKM,mouse_gene,mouse_Six2_normalized_ regulatory_score,Cited1+_cells_RPKM,z_score
PTCHD1,0.000,1.025,Ptchd1,0.000,0.096,0.000
NEUROD4,0.000,0.000,Neurod4,0.000,0.000,0.000
CHRNA1,1.673,16.389,Chrna1,0.000,0.156,1.293
NSG1,0.000,3.699,Nsg1,0.000,19.830,0.000
RC3H2,0.000,13.285,Rc3h2,0.000,7.202,0.000
PLOD1,0.000,31.096,Plod1,0.000,10.590,0.000
P4HB,0.000,90.225,P4hb,0.000,169.600,0.000
COL10A1,1.120,0.094,Col10a1,0.000,0.003,1.058
P4HA2,0.000,4.507,P4ha2,0.000,3.448,0.000
PHYHIP,0.000,0.128,Phyhip,0.000,0.513,0.000
GUCA1B,0.000,1.680,Guca1b,0.000,0.180,0.000
FEM1B,0.000,17.453,Fem1b,0.000,25.110,0.000
CHRNB2,0.000,0.105,Chrnb2,0.000,0.215,0.000
GOLGA7,0.347,27.190,Golga7,0.000,48.230,0.589
TCP1,0.000,71.085,Tcp1,0.000,132.600,0.000
CMKLR1,0.268,0.571,Cmklr1,0.000,0.678,0.518
IBSP,0.000,0.000,Ibsp,0.000,0.000,0.000
HYAL1,0.000,0.996,Hyal1,0.000,2.522,0.000
HTR1D,0.000,0.209,Htr1d,0.000,0.015,0.000
DNAJA1,0.000,125.846,Dnaja1,0.000,85.680,0.000
DNAJB14,0.000,6.779,Dnajb14,0.000,3.448,0.000
RBM27,0.568,7.998,Rbm27,0.000,8.609,0.754
CBX2,0.379,34.778,Cbx2,0.000,17.640,0.615
ALG1,0.000,3.713,Alg1,0.000,5.939,0.000
ADAM22,0.000,3.068,Adam22,0.000,1.822,0.000
RNU11,0.000,0.000,Rnu11,0.000,0.033,0.000
CUEDC1,0.000,13.528,Cuedc1,0.000,8.369,0.000
SRA1,0.000,21.161,Sra1,0.000,23.180,0.000
ATM,0.000,8.672,Atm,0.000,6.704,0.000
BHLHE41,0.000,0.108,Bhlhe41,0.000,0.710,0.000
APLNR,0.000,1.682,Aplnr,0.000,0.275,0.000
ASAH1,0.000,17.617,Asah1,0.000,15.690,0.000
SAP30BP,0.000,17.213,Sap30bp,0.000,15.360,0.000
PDE4A,0.000,1.402,Pde4a,0.000,2.193,0.000
EBAG9,0.000,6.951,Ebag9,0.000,7.913,0.000
RPL8,0.000,1195.770,Rpl8,0.000,993.400,0.000
GRK1,0.300,0.000,Grk1,0.000,0.640,0.548
NIT1,0.000,12.731,Nit1,0.000,11.070,0.000
CEP68,0.000,10.987,Cep68,0.000,14.180,0.000
EIF3D,0.363,98.945,Eif3d,0.000,85.620,0.602
MTFR1,0.000,4.202,Mtfr1,0.000,16.420,0.000
PPIC,0.000,1.775,Ppic,0.000,35.900,0.000
RABAC1,0.000,41.988,Rabac1,0.000,28.390,0.000
ABCB7,0.000,8.499,Abcb7,0.000,6.006,0.000
FAM46D,0.000,0.000,Fam46d,0.000,0.007,0.000
ARPP19,0.000,36.659,Arpp19,0.000,23.090,0.000
RNF217,1.594,6.226,Rnf217,0.000,6.988,1.262
EMP3,0.000,20.642,Emp3,0.000,16.240,0.000
SBK2,0.000,3.818,Sbk2,0.000,0.073,0.000
MADCAM1,0.000,0.434,Madcam1,0.000,0.097,0.000
DUSP1,0.000,225.307,Dusp1,0.000,46.140,0.000
SLC39A1,0.363,40.072,Slc39a1,0.000,30.220,0.602
MFI2,0.000,1.464,Mfi2,0.000,0.046,0.000
DNAJC12,0.000,2.104,Dnajc12,0.000,2.425,0.000
PAM,0.268,18.119,Pam,0.000,8.845,0.518
CABP1,0.000,0.451,Cabp1,0.000,0.294,0.000
RNF11,0.000,30.328,Rnf11,0.000,18.710,0.000
SULT4A1,0.000,5.974,Sult4a1,0.000,0.024,0.000
INSL3,0.000,0.481,Insl3,0.000,0.037,0.000
DSCAM,1.231,0.000,Dscam,0.000,0.032,1.109
RNF181,0.000,40.404,Rnf181,0.000,19.590,0.000
CROT,0.000,6.105,Crot,0.000,10.330,0.000
MRRF,0.000,6.073,Mrrf,0.000,9.107,0.000
PAIP2,0.000,84.411,Paip2,0.000,96.510,0.000
CELA3B,0.000,0.000,Cela3b,0.000,0.000,0.000
NDUFB2,0.000,115.415,Ndufb2,0.000,47.850,0.000
KRTCAP3,0.000,3.458,Krtcap3,0.000,1.779,0.000
NUP98,0.000,14.943,Nup98,0.000,13.960,0.000
TSFM,0.000,9.642,Tsfm,0.000,19.740,0.000
TBRG1,0.000,5.760,Tbrg1,0.000,34.620,0.000
CENPP,0.000,0.872,Cenpp,0.000,6.543,0.000
CYB5R4,0.284,2.361,Cyb5r4,0.000,26.720,0.533
05-Mar,0.426,16.102,05-Mar,0.000,38.800,0.653
AQP7,0.379,0.596,Aqp7,0.000,0.148,0.615
CSTF1,0.000,7.156,Cstf1,0.000,16.940,0.000
SV2A,0.000,5.112,Sv2a,0.000,1.189,0.000
ATP6V1C1,0.584,6.739,Atp6v1c1,0.000,12.380,0.764
ARL2BP,0.000,34.038,Arl2bp,0.000,42.520,0.000
U2AF1,0.000,100.440,U2af1,0.000,83.810,0.000
PPP1R3D,0.000,1.390,Ppp1r3d,0.000,0.748,0.000
CHRNG,0.000,5.546,Chrng,0.000,0.373,0.000
USF2,0.000,86.640,Usf2,0.000,37.780,0.000
NUBP2,0.000,44.440,Nubp2,0.000,15.690,0.000
PLA2G2E,0.489,0.000,Pla2g2e,0.000,0.021,0.699
SNORA15,0.000,0.000,Snora15,0.000,0.093,0.000
TUG1,0.000,59.318,Tug1,0.000,28.370,0.000
NNAT,0.316,447.587,Nnat,0.000,221.900,0.562
BRAP,0.000,6.414,Brap,0.000,10.430,0.000
TC2N,0.000,0.208,Tc2n,0.000,0.017,0.000
CNIH2,0.000,7.113,Cnih2,0.000,3.860,0.000
RAB21,0.000,12.585,Rab21,0.000,13.710,0.000
UBE2V1,0.000,44.228,Ube2v1,0.000,87.550,0.000
LENG9,0.000,5.071,Leng9,0.000,0.714,0.000
EGFL8,0.000,8.950,Egfl8,0.000,0.830,0.000
SLC36A4,0.000,4.566,Slc36a4,0.000,6.499,0.000
TAF1B,0.000,5.388,Taf1b,0.000,8.661,0.000
CCL8,0.000,1.567,Ccl8,0.000,0.028,0.000
STARD10,0.000,8.110,Stard10,0.000,6.752,0.000
CLCN7,0.000,29.655,Clcn7,0.000,6.761,0.000
GGT5,0.000,3.017,Ggt5,0.000,0.396,0.000
GMCL1,1.783,17.431,Gmcl1,0.000,11.240,1.335
ZMYND15,0.000,0.275,Zmynd15,0.000,0.231,0.000
ADAR,0.000,41.060,Adar,0.000,6.663,0.000
TBC1D10B,0.000,22.905,Tbc1d10b,0.000,13.630,0.000
LMF2,0.000,36.580,Lmf2,0.000,13.720,0.000
ACOT2,0.000,9.657,Acot2,0.000,5.338,0.000
EDF1,0.000,215.518,Edf1,0.000,66.950,0.000
UCHL1,0.000,94.063,Uchl1,0.000,20.530,0.000
BLOC1S1,0.000,61.847,Bloc1s1,0.000,36.490,0.000
UBE2D3,0.000,95.237,Ube2d3,0.000,90.020,0.000
TCEAL6,0.000,1.936,Tceal6,0.000,0.091,0.000
CDT1,0.000,22.155,Cdt1,0.000,32.270,0.000
LSM7,0.000,123.046,Lsm7,0.000,78.180,0.000
NDUFA3,0.000,72.821,Ndufa3,0.000,67.170,0.000
YPEL3,0.000,49.764,Ypel3,0.000,28.880,0.000
BCAP31,0.000,57.508,Bcap31,0.000,43.010,0.000
CRYGD,0.000,0.191,Crygd,0.000,0.006,0.000
E2F5,0.000,12.369,E2f5,0.000,12.950,0.000
WNT2B,0.000,0.906,Wnt2b,0.000,0.218,0.000
TGFB1I1,0.000,14.318,Tgfb1i1,0.000,2.591,0.000
DDX56,0.000,35.009,Ddx56,0.000,16.870,0.000
SERPINA12,0.000,0.000,Serpina12,0.000,0.000,0.000
SP7,0.000,0.035,Sp7,0.000,0.157,0.000
NPHS2,0.000,2.141,Nphs2,0.000,0.015,0.000
GRIN3B,0.000,1.582,Grin3b,0.000,0.585,0.000
RECQL5,0.000,11.860,Recql5,0.000,6.128,0.000
GPHA2,0.000,8.684,Gpha2,0.000,0.338,0.000
ALPK3,0.852,16.870,Alpk3,0.000,0.081,0.923
ASB12,0.000,0.266,Asb12,0.000,0.006,0.000
ZCCHC14,0.789,19.488,Zcchc14,0.000,21.170,0.888
SLC34A3,0.000,0.352,Slc34a3,0.000,0.064,0.000
BTG4,0.473,0.000,Btg4,0.000,0.000,0.688
FKBP1B,0.000,4.666,Fkbp1b,0.000,1.896,0.000
TK2,0.000,6.699,Tk2,0.000,6.529,0.000
PIGO,0.000,10.579,Pigo,0.000,7.818,0.000
SNHG3,0.000,12.884,Snhg3,0.000,13.150,0.000
RAB37,0.000,0.722,Rab37,0.000,0.381,0.000
PGAM5,0.000,15.326,Pgam5,0.000,26.240,0.000
DHX58,0.000,1.160,Dhx58,0.000,0.683,0.000
SEH1L,0.000,11.455,Seh1l,0.000,28.930,0.000
PDX1,0.000,0.000,Pdx1,0.000,0.003,0.000
TMEM70,0.000,7.693,Tmem70,0.000,15.620,0.000
ODF3,0.000,0.089,Odf3,0.000,0.004,0.000
GLIPR1L1,0.000,0.000,Glipr1l1,0.000,0.000,0.000
ZG16,0.000,0.799,Zg16,0.000,0.000,0.000
ZDHHC3,0.000,7.329,Zdhhc3,0.000,10.180,0.000
SEC62,0.000,14.083,Sec62,0.000,16.060,0.000
SH3BGRL,0.000,37.381,Sh3bgrl,0.000,40.640,0.000
WDR93,0.000,0.613,Wdr93,0.000,0.084,0.000
EREG,0.000,0.649,Ereg,0.000,0.000,0.000
EPX,0.000,0.154,Epx,0.000,0.005,0.000
LITAF,0.000,32.366,Litaf,0.000,18.980,0.000
DSP,0.000,21.032,Dsp,0.000,0.265,0.000
TOR3A,0.000,16.648,Tor3a,0.000,2.069,0.000
STK32B,0.268,0.320,Stk32b,0.000,0.487,0.518
UBD,0.000,0.490,Ubd,0.000,0.000,0.000
SULT1E1,0.000,50.610,Sult1e1,0.000,0.035,0.000
SFTPA1,0.000,0.000,Sftpa1,0.000,0.000,0.000
IL21R,0.000,0.311,Il21r,0.000,0.434,0.000
RCE1,0.000,22.391,Rce1,0.000,16.170,0.000
FDPS,0.000,53.879,Fdps,0.000,30.940,0.000
COL1A1,0.000,248.022,Col1a1,0.000,55.040,0.000
FPR3,0.000,0.313,Fpr3,0.000,0.000,0.000
DVL3,0.000,37.620,Dvl3,0.000,24.140,0.000
GABPA,0.000,11.354,Gabpa,0.000,14.810,0.000
EPYC,0.316,0.000,Epyc,0.000,0.000,0.562
IGFL3,0.000,0.000,Igfl3,0.000,0.000,0.000
SATL1,0.000,0.644,Satl1,0.000,0.000,0.000
TMTC4,0.221,12.778,Tmtc4,0.000,6.452,0.470
LRAT,0.000,0.246,Lrat,0.000,0.006,0.000
MED21,0.426,7.780,Med21,0.000,23.490,0.653
FAM71F2,0.000,0.773,Fam71f2,0.000,0.123,0.000
RHOBTB2,0.000,9.178,Rhobtb2,0.000,6.725,0.000
RPUSD3,0.000,8.291,Rpusd3,0.000,2.893,0.000
IAPP,0.000,1.865,Iapp,0.000,0.000,0.000
VAX1,0.000,0.000,Vax1,0.000,0.007,0.000
CASC1,0.000,0.823,Casc1,0.000,0.105,0.000
XAB2,0.000,32.516,Xab2,0.000,23.650,0.000
GPR18,0.000,0.305,Gpr18,0.000,0.025,0.000
NOP14,0.000,9.674,Nop14,0.000,15.780,0.000
TRMT5,1.751,6.768,Trmt5,0.000,6.583,1.323
SPRY4,1.010,13.347,Spry4,0.000,8.992,1.005
TOPORS,0.000,8.057,Topors,0.000,24.990,0.000
CHCHD2,0.000,212.397,Chchd2,0.000,141.400,0.000
KLHL10,0.000,0.053,Klhl10,0.000,0.232,0.000
HECW1,1.041,0.029,Hecw1,0.000,0.004,1.020
CNIH4,0.000,22.487,Cnih4,0.000,10.410,0.000
ATP6V1E2,0.000,0.706,Atp6v1e2,0.000,0.007,0.000
PRM1,0.410,0.000,Prm1,0.000,0.190,0.640
ISG15,0.000,9.993,Isg15,0.000,0.182,0.000
SNRPA,0.000,57.658,Snrpa,0.000,83.000,0.000
ELL3,0.000,1.364,Ell3,0.000,0.471,0.000
CC2D1A,0.000,10.308,Cc2d1a,0.000,7.629,0.000
CASP6,0.000,8.420,Casp6,0.000,14.850,0.000
CASP3,0.000,13.119,Casp3,0.000,25.890,0.000
TTN,0.000,0.430,Ttn,0.000,0.008,0.000
MAGEB5,0.000,0.000,Mageb5,0.000,0.000,0.000
PGAM1,0.000,89.105,Pgam1,0.000,238.800,0.000
DYNLL1,0.316,207.726,Dynll1,0.000,111.400,0.562
DIMT1,0.000,15.466,Dimt1,0.000,7.041,0.000
TAF13,0.000,7.986,Taf13,0.000,10.420,0.000
MED25,0.000,42.532,Med25,0.000,38.460,0.000
LONP1,0.000,29.832,Lonp1,0.000,39.530,0.000
GABRQ,0.000,0.269,Gabrq,0.000,0.011,0.000
GRIPAP1,0.000,24.002,Gripap1,0.000,11.410,0.000
TM4SF5,0.000,0.000,Tm4sf5,0.000,0.037,0.000
TSPYL4,1.152,28.313,Tspyl4,0.000,2.046,1.073
DUSP9,0.000,13.212,Dusp9,0.000,8.377,0.000
DCLRE1A,0.000,4.373,Dclre1a,0.000,3.623,0.000
TTF1,0.884,7.700,Ttf1,0.000,5.132,0.940
ZBTB8B,0.000,0.650,Zbtb8b,0.000,0.462,0.000
PHLDB1,0.000,14.895,Phldb1,0.000,9.975,0.000
MPP1,0.000,5.190,Mpp1,0.000,8.185,0.000
DLX6,0.000,0.000,Dlx6,0.000,0.007,0.000
LDB1,0.000,76.103,Ldb1,0.000,83.380,0.000
APOE,0.000,20.540,Apoe,0.000,86.880,0.000
CREB3L4,0.363,20.486,Creb3l4,0.000,0.978,0.602
FBXO36,0.000,1.595,Fbxo36,0.000,0.740,0.000
PAPSS2,0.000,3.103,Papss2,0.000,0.669,0.000
GPR113,0.473,0.406,Gpr113,0.000,0.002,0.688
HOOK3,0.000,5.327,Hook3,0.000,5.280,0.000
PROCR,0.000,0.929,Procr,0.000,0.204,0.000
EIF2AK2,0.000,6.206,Eif2ak2,0.000,3.151,0.000
MAF1,0.000,66.549,Maf1,0.000,39.120,0.000
ANXA6,0.000,49.275,Anxa6,0.000,35.830,0.000
EFR3B,0.000,5.397,Efr3b,0.000,1.588,0.000
MYADML2,0.000,0.129,Myadml2,0.000,0.013,0.000
TUSC3,1.183,30.830,Tusc3,0.000,39.070,1.088
FGA,0.000,0.000,Fga,0.000,0.015,0.000
ARPC3,0.000,94.460,Arpc3,0.000,52.110,0.000
TMIE,0.000,0.058,Tmie,0.000,0.064,0.000
SLC29A4,0.300,11.900,Slc29a4,0.000,2.435,0.548
P2RX3,0.000,0.154,P2rx3,0.000,0.123,0.000
MESP1,0.000,2.414,Mesp1,0.000,0.013,0.000
MFAP3L,0.316,0.355,Mfap3l,0.000,0.325,0.562
ERCC6,0.000,2.290,Ercc6,0.000,3.384,0.000
PELO,0.000,6.050,Pelo,0.000,9.213,0.000
UNC45A,0.000,24.563,Unc45a,0.000,12.940,0.000
RAB15,0.521,16.351,Rab15,0.000,1.638,0.722
NUP62,0.000,30.423,Nup62,0.000,38.310,0.000
CHRAC1,0.000,16.931,Chrac1,0.000,17.330,0.000
MLPH,0.789,0.612,Mlph,0.000,0.017,0.888
ARL5B,1.893,19.301,Arl5b,0.000,11.600,1.376
TAS1R2,0.000,0.000,Tas1r2,0.000,0.002,0.000
NMT1,0.363,21.325,Nmt1,0.000,31.310,0.602
RPL5,0.000,1472.570,Rpl5,0.000,952.700,0.000
ARL6IP5,0.000,17.348,Arl6ip5,0.000,20.930,0.000
ARL6IP6,0.347,13.547,Arl6ip6,0.000,14.510,0.589
NIF3L1,0.000,11.333,Nif3l1,0.000,13.660,0.000
SLC13A5,0.000,0.000,Slc13a5,0.000,0.024,0.000
TMEM223,0.000,11.958,Tmem223,0.000,43.450,0.000
TRMT2A,0.000,17.955,Trmt2a,0.000,17.830,0.000
MYCT1,0.000,0.068,Myct1,0.000,0.022,0.000
TMEM63B,0.647,12.888,Tmem63b,0.000,16.650,0.804
MORN2,0.000,9.856,Morn2,0.000,5.783,0.000
PKD2L1,0.000,0.034,Pkd2l1,0.000,0.005,0.000
GTF2H5,0.000,2.603,Gtf2h5,0.000,27.910,0.000
PHF13,0.000,17.430,Phf13,0.000,19.530,0.000
DNAJC11,0.000,21.462,Dnajc11,0.000,25.490,0.000
GALNT12,0.000,1.487,Galnt12,0.000,1.716,0.000
RPL32,0.000,431.091,Rpl32,0.000,1274.000,0.000
OSCP1,0.000,8.088,Oscp1,0.000,3.314,0.000
KRTAP4-8,0.000,0.000,Krtap4-8,0.000,0.000,0.000
AFF2,0.000,3.653,Aff2,0.000,0.662,0.000
C3AR1,0.000,1.873,C3ar1,0.000,0.946,0.000
MBD4,0.000,10.156,Mbd4,0.000,5.177,0.000
WDR5B,0.000,1.905,Wdr5b,0.000,2.146,0.000
METTL1,0.000,8.653,Mettl1,0.000,20.440,0.000
GNPAT,0.000,20.809,Gnpat,0.000,35.010,0.000
FHL1,0.000,23.746,Fhl1,0.000,2.850,0.000
LRRIQ4,0.000,0.060,Lrriq4,0.000,0.000,0.000
HRG,0.000,0.000,Hrg,0.000,0.000,0.000
TMEM92,0.442,0.153,Tmem92,0.000,0.000,0.665
VAPA,0.947,14.317,Vapa,0.000,55.690,0.973
TMEM168,0.000,8.242,Tmem168,0.000,5.662,0.000
TAX1BP3,0.000,32.229,Tax1bp3,0.000,21.520,0.000
TRIM10,0.000,0.000,Trim10,0.000,0.003,0.000
CLCA2,0.000,0.000,Clca2,0.000,0.026,0.000
PRRG4,0.489,1.234,Prrg4,0.000,0.328,0.699
PPP1R13L,0.000,2.117,Ppp1r13l,0.000,4.273,0.000
SLC26A8,0.000,0.033,Slc26a8,0.000,0.058,0.000
GPR82,0.000,1.605,Gpr82,0.000,0.023,0.000
GPR4,0.000,0.322,Gpr4,0.000,1.787,0.000
CNPY1,0.000,0.000,Cnpy1,0.000,0.000,0.000
TXNL4B,0.000,6.916,Txnl4b,0.000,4.434,0.000
GPHB5,0.000,0.000,Gphb5,0.000,0.009,0.000
FKRP,0.000,9.862,Fkrp,0.000,14.920,0.000
FAM110B,0.268,4.288,Fam110b,0.000,5.765,0.518
WDR43,0.000,11.386,Wdr43,0.000,29.320,0.000
CHRNA2,0.000,0.012,Chrna2,0.000,0.000,0.000
CHMP1A,0.000,36.345,Chmp1a,0.000,24.840,0.000
KLHDC4,0.000,7.311,Klhdc4,0.000,14.340,0.000
FGL1,0.347,0.000,Fgl1,0.000,0.013,0.589
KRTAP4-9,0.000,0.000,Krtap4-9,0.000,0.000,0.000
VEZF1,1.341,28.265,Vezf1,0.000,22.490,1.158
CLCC1,0.000,8.519,Clcc1,0.000,6.480,0.000
LRRC61,0.000,22.813,Lrrc61,0.000,6.581,0.000
PICK1,0.000,19.081,Pick1,0.000,10.580,0.000
SFPQ,0.000,172.275,Sfpq,0.000,171.200,0.000
ARRB2,0.000,25.435,Arrb2,0.000,12.580,0.000
GIMAP7,0.000,0.094,Gimap7,0.000,0.000,0.000
TMEM119,0.331,5.731,Tmem119,0.000,1.739,0.576
SFT2D2,0.836,4.874,Sft2d2,0.000,8.637,0.914
IPO13,0.000,8.583,Ipo13,0.000,17.900,0.000
TRAPPC2,0.000,9.211,Trappc2,0.000,2.825,0.000
DTX3,0.000,39.906,Dtx3,0.000,40.390,0.000
INSRR,0.347,0.919,Insrr,0.000,0.382,0.589
HADHB,0.426,39.531,Hadhb,0.000,33.000,0.653
PCDHA5,0.000,0.077,Pcdha5,0.000,0.005,0.000
PCDHA11,0.000,0.211,Pcdha11,0.000,0.005,0.000
PSMB5,0.000,82.822,Psmb5,0.000,113.600,0.000
TCTE3,0.000,0.532,Tcte3,0.000,0.006,0.000
SAA2,0.000,0.367,Saa2,0.000,0.184,0.000
FGF16,0.000,0.000,Fgf16,0.000,0.006,0.000
SPHK1,0.000,5.255,Sphk1,0.000,0.175,0.000
STX2,0.347,5.629,Stx2,0.000,7.533,0.589
FBP2,0.000,0.000,Fbp2,0.000,0.411,0.000
EPHA8,0.379,0.234,Epha8,0.000,0.054,0.615
HMGCS2,0.000,0.045,Hmgcs2,0.000,0.120,0.000
HMGCR,0.000,23.010,Hmgcr,0.000,19.280,0.000
HMGCL,0.000,11.254,Hmgcl,0.000,15.820,0.000
ITGAE,0.000,1.900,Itgae,0.000,0.018,0.000
ITM2A,0.000,4.925,Itm2a,0.000,3.371,0.000
STT3A,0.000,41.358,Stt3a,0.000,47.270,0.000
LRP5,0.000,22.464,Lrp5,0.000,19.220,0.000
BRD7,0.000,33.942,Brd7,0.000,29.350,0.000
PLA2G2F,0.000,0.000,Pla2g2f,0.000,0.009,0.000
NUPR1,0.000,2.743,Nupr1,0.000,0.167,0.000
FBXO40,0.000,0.149,Fbxo40,0.000,0.030,0.000
TRMT6,0.000,5.723,Trmt6,0.000,7.972,0.000
NOL8,0.000,8.277,Nol8,0.000,5.842,0.000
FBLIM1,0.000,25.859,Fblim1,0.000,12.010,0.000
GRWD1,0.000,11.008,Grwd1,0.000,24.240,0.000
TREML2,0.000,0.118,Treml2,0.000,0.038,0.000
PCDHB16,0.000,2.843,Pcdhb16,0.000,1.130,0.000
TEAD3,0.000,21.466,Tead3,0.000,13.580,0.000
FOXP3,0.000,0.558,Foxp3,0.000,0.016,0.000
ITFG3,0.000,33.183,Itfg3,0.000,9.793,0.000
KRTAP16-1,0.000,0.000,Krtap16-1,0.000,0.000,0.000
FAM50B,0.000,2.864,Fam50b,0.000,0.000,0.000
SUV420H2,0.000,20.532,Suv420h2,0.000,26.350,0.000
PIH1D2,0.000,2.041,Pih1d2,0.000,1.312,0.000
ERAP1,0.000,12.732,Erap1,0.000,2.690,0.000
MSH4,0.000,0.031,Msh4,0.000,0.011,0.000
ATP6V1E1,0.000,31.523,Atp6v1e1,0.000,36.230,0.000
P2RY12,0.000,0.304,P2ry12,0.000,0.379,0.000
HTR2C,0.205,0.022,Htr2c,0.000,0.000,0.453
HMGN2,0.000,317.630,Hmgn2,0.000,545.200,0.000
OAZ1,0.000,214.842,Oaz1,0.000,9.461,0.000
FXYD5,0.521,3.889,Fxyd5,0.000,2.899,0.722
ITK,0.300,0.046,Itk,0.000,0.002,0.548
EXOSC10,0.284,28.617,Exosc10,0.000,25.800,0.533
HERC4,0.000,9.091,Herc4,0.000,10.730,0.000
ARL8A,0.000,23.582,Arl8a,0.000,16.670,0.000
FAM26E,0.000,0.174,Fam26e,0.000,0.043,0.000
TSTA3,0.000,20.802,Tsta3,0.000,19.520,0.000
CTBS,0.000,1.999,Ctbs,0.000,1.398,0.000
SP6,0.000,4.449,Sp6,0.000,0.179,0.000
KCNN1,0.000,13.413,Kcnn1,0.000,3.619,0.000
NRG4,0.000,0.537,Nrg4,0.000,0.298,0.000
HTATSF1,0.000,36.755,Htatsf1,0.000,21.890,0.000
TNXB,0.000,1.969,Tnxb,0.000,0.032,0.000
PYCRL,0.000,6.356,Pycrl,0.000,35.670,0.000
AVPI1,0.000,3.246,Avpi1,0.000,3.792,0.000
KLB,0.000,0.405,Klb,0.000,0.025,0.000
UTP15,0.000,2.942,Utp15,0.000,12.110,0.000
RAB11FIP5,0.000,1.889,Rab11fip5,0.000,4.496,0.000
MYH4,0.331,0.033,Myh4,0.000,0.001,0.576
CD80,0.000,0.038,Cd80,0.000,0.089,0.000
LEFTY1,0.000,1.289,Lefty1,0.000,0.041,0.000
HDAC3,0.000,32.688,Hdac3,0.000,37.830,0.000
IFNA1,0.000,0.000,Ifna1,0.000,0.000,0.000
RNASEH1,0.000,10.985,Rnaseh1,0.000,6.682,0.000
SERPINA6,0.000,0.000,Serpina6,0.000,0.185,0.000
CHMP2A,0.000,43.808,Chmp2a,0.000,27.170,0.000
NDUFA6,0.000,34.618,Ndufa6,0.000,107.200,0.000
ATP5E,0.000,303.618,Atp5e,0.000,179.100,0.000
CHMP2B,0.000,12.725,Chmp2b,0.000,14.480,0.000
ASPSCR1,0.442,18.651,Aspscr1,0.000,22.310,0.665
PTCD2,0.489,2.540,Ptcd2,0.000,12.680,0.699
RRAGD,0.268,4.436,Rragd,0.000,14.590,0.518
ABHD13,0.000,3.635,Abhd13,0.000,7.953,0.000
KCNMB4,0.000,2.577,Kcnmb4,0.000,4.240,0.000
TRPM7,0.000,6.285,Trpm7,0.000,13.030,0.000
ELP2,0.000,15.406,Elp2,0.000,38.400,0.000
AASS,0.000,15.104,Aass,0.000,0.106,0.000
RWDD2B,0.000,3.405,Rwdd2b,0.000,3.243,0.000
BAG3,0.300,22.805,Bag3,0.000,8.558,0.548
USP21,0.000,18.469,Usp21,0.000,27.330,0.000
CLEC4F,0.000,0.046,Clec4f,0.000,0.000,0.000
NOP58,0.000,37.356,Nop58,0.000,66.160,0.000
KRTAP4-2,0.000,0.000,Krtap4-2,0.000,0.000,0.000
RCC1,0.000,21.598,Rcc1,0.000,31.470,0.000
ANKRD45,0.000,1.887,Ankrd45,0.000,1.719,0.000
TRIM11,0.000,16.760,Trim11,0.000,9.208,0.000
HAUS4,0.000,22.563,Haus4,0.000,10.750,0.000
PLCXD1,0.000,18.424,Plcxd1,0.000,0.618,0.000
HCFC2,0.300,2.408,Hcfc2,0.000,4.495,0.548
EGLN2,0.000,29.437,Egln2,0.000,28.070,0.000
NDUFB5,0.000,40.418,Ndufb5,0.000,65.710,0.000
ATP5D,0.000,78.087,Atp5d,0.000,162.600,0.000
KRTAP3-2,0.000,0.000,Krtap3-2,0.000,0.000,0.000
CMPK1,0.000,9.898,Cmpk1,0.000,24.780,0.000
MECR,0.000,8.369,Mecr,0.000,9.027,0.000
TRAPPC6A,0.000,32.476,Trappc6a,0.000,15.600,0.000
PATL2,0.000,0.110,Patl2,0.000,0.003,0.000
CAND2,0.000,8.600,Cand2,0.000,17.470,0.000
MRPL2,0.000,13.007,Mrpl2,0.000,35.820,0.000
ATP13A2,0.000,14.726,Atp13a2,0.000,24.630,0.000
MIA2,0.000,0.046,Mia2,0.000,0.111,0.000
BBS4,0.300,9.580,Bbs4,0.000,6.367,0.548
ACAD11,0.000,5.790,Acad11,0.000,3.791,0.000
CPT1B,0.000,3.052,Cpt1b,0.000,0.060,0.000
MAGEE2,0.000,0.141,Magee2,0.000,0.353,0.000
SLC16A2,0.000,12.797,Slc16a2,0.000,1.290,0.000
RAB17,0.331,0.352,Rab17,0.000,0.346,0.576
GLTSCR1,0.000,8.039,Gltscr1,0.000,8.617,0.000
MAN2B2,0.000,4.350,Man2b2,0.000,4.567,0.000
BMP8B,0.442,0.881,Bmp8b,0.000,0.068,0.665
GLUD1,0.000,22.401,Glud1,0.000,41.270,0.000
HIATL1,0.000,14.176,Hiatl1,0.000,13.260,0.000
SAC3D1,0.000,13.584,Sac3d1,0.000,13.550,0.000
CLP1,0.000,3.197,Clp1,0.000,6.336,0.000
KMO,0.000,0.105,Kmo,0.000,0.009,0.000
APOC2,0.000,0.183,Apoc2,0.000,0.063,0.000
BAI2,0.000,9.484,Bai2,0.000,2.559,0.000
BAX,0.000,30.140,Bax,0.000,55.770,0.000
SLC22A13,0.000,0.041,Slc22a13,0.000,0.286,0.000
PAFAH1B3,0.000,65.870,Pafah1b3,0.000,58.110,0.000
NDUFA8,0.000,28.328,Ndufa8,0.000,47.450,0.000
AFP,0.000,0.369,Afp,0.000,1.514,0.000
BHMT,0.000,0.315,Bhmt,0.000,0.012,0.000
AKAP9,0.268,7.976,Akap9,0.000,8.725,0.518
PHOSPHO1,0.000,0.105,Phospho1,0.000,0.085,0.000
